Opponent,Bayes marginal overall,Bayes conditional overall,Q-learning overall,Finite-horizon oracle overall,Bayes marginal final 100,Bayes conditional final 100,Q-learning final 100,Finite-horizon oracle final 100
Mirror (90%),9.490909,9.560251,7.68364,9.563322,9.543258,9.564032,8.98078,9.56727
Switch (90%),4.585746,9.456557,7.338288,9.466257,4.58734,9.468986,8.350082,9.469182
